Province,Datetime,Predicted_PM25
Chiang Mai,2026-08-12 09:00:00,0.0
Chiang Mai,2026-08-12 10:00:00,0.0
Chiang Mai,2026-08-12 11:00:00,0.0
Chiang Mai,2026-08-12 12:00:00,0.0
Chiang Mai,2026-08-12 13:00:00,0.0
Chiang Mai,2026-08-12 14:00:00,0.0
Chiang Mai,2026-08-12 15:00:00,0.0
Chiang Mai,2026-08-12 16:00:00,0.0
Chiang Mai,2026-08-12 17:00:00,0.0
Chiang Mai,2026-08-12 18:00:00,0.0
Chiang Mai,2026-08-12 19:00:00,0.0
Chiang Mai,2026-08-12 20:00:00,0.0
Chiang Mai,2026-08-12 21:00:00,0.0
Chiang Mai,2026-08-12 22:00:00,0.0
Chiang Mai,2026-08-12 23:00:00,0.0
Chiang Mai,2026-08-13 00:00:00,0.0
Chiang Mai,2026-08-13 01:00:00,0.0
Chiang Mai,2026-08-13 02:00:00,0.0
Chiang Mai,2026-08-13 03:00:00,0.0
Chiang Mai,2026-08-13 04:00:00,0.0
Chiang Mai,2026-08-13 05:00:00,0.0
Chiang Mai,2026-08-13 06:00:00,0.0
Chiang Mai,2026-08-13 07:00:00,0.0
Chiang Mai,2026-08-13 08:00:00,0.0
Chiang Mai,2026-08-13 09:00:00,0.0
Chiang Mai,2026-08-13 10:00:00,0.0
Chiang Mai,2026-08-13 11:00:00,0.0
Chiang Mai,2026-08-13 12:00:00,0.0
Chiang Mai,2026-08-13 13:00:00,0.0
Chiang Mai,2026-08-13 14:00:00,0.0
Chiang Mai,2026-08-13 15:00:00,0.0
Chiang Mai,2026-08-13 16:00:00,0.0
Chiang Mai,2026-08-13 17:00:00,0.0
Chiang Mai,2026-08-13 18:00:00,0.0
Chiang Mai,2026-08-13 19:00:00,0.0
Chiang Mai,2026-08-13 20:00:00,0.0
Chiang Mai,2026-08-13 21:00:00,0.0
Chiang Mai,2026-08-13 22:00:00,0.0
Chiang Mai,2026-08-13 23:00:00,0.0
Chiang Mai,2026-08-14 00:00:00,0.0
Chiang Mai,2026-08-14 01:00:00,0.0
Chiang Mai,2026-08-14 02:00:00,0.0
Chiang Mai,2026-08-14 03:00:00,0.0
Chiang Mai,2026-08-14 04:00:00,0.0
Chiang Mai,2026-08-14 05:00:00,0.0
Chiang Mai,2026-08-14 06:00:00,0.0
Chiang Mai,2026-08-14 07:00:00,0.0
Chiang Mai,2026-08-14 08:00:00,0.0
Chiang Mai,2026-08-14 09:00:00,0.0
Chiang Mai,2026-08-14 10:00:00,0.0
Chiang Mai,2026-08-14 11:00:00,0.0
Chiang Mai,2026-08-14 12:00:00,0.0
Chiang Mai,2026-08-14 13:00:00,0.0
Chiang Mai,2026-08-14 14:00:00,0.0
Chiang Mai,2026-08-14 15:00:00,0.0
Chiang Mai,2026-08-14 16:00:00,0.0
Chiang Mai,2026-08-14 17:00:00,0.0
Chiang Mai,2026-08-14 18:00:00,0.0
Chiang Mai,2026-08-14 19:00:00,0.0
Chiang Mai,2026-08-14 20:00:00,0.0
Chiang Mai,2026-08-14 21:00:00,0.0
Chiang Mai,2026-08-14 22:00:00,0.0
Chiang Mai,2026-08-14 23:00:00,0.0
Chiang Mai,2026-08-15 00:00:00,0.0
Chiang Mai,2026-08-15 01:00:00,0.0
Chiang Mai,2026-08-15 02:00:00,0.0
Chiang Mai,2026-08-15 03:00:00,0.0
Chiang Mai,2026-08-15 04:00:00,0.0
Chiang Mai,2026-08-15 05:00:00,0.0
Chiang Mai,2026-08-15 06:00:00,0.0
Chiang Mai,2026-08-15 07:00:00,0.0
Chiang Mai,2026-08-15 08:00:00,0.0
Chiang Mai,2026-08-15 09:00:00,0.0
Chiang Mai,2026-08-15 10:00:00,0.0
Chiang Mai,2026-08-15 11:00:00,0.0
Chiang Mai,2026-08-15 12:00:00,0.0
Chiang Mai,2026-08-15 13:00:00,0.0
Chiang Mai,2026-08-15 14:00:00,0.0
Chiang Mai,2026-08-15 15:00:00,0.0
Chiang Mai,2026-08-15 16:00:00,0.0
Chiang Mai,2026-08-15 17:00:00,0.0
Chiang Mai,2026-08-15 18:00:00,0.0
Chiang Mai,2026-08-15 19:00:00,0.0
Chiang Mai,2026-08-15 20:00:00,0.0
Chiang Mai,2026-08-15 21:00:00,0.0
